COMPLETE PROGRAMS REPORT
Total installed: 123
Total store apps: 163
Total running: 125
Total startup: 8

================================================================================
INSTALLED PROGRAMS (123)
================================================================================

Anaconda3 2025.06-0 (Python 3.13.5 64-bit) | 2025.06-0 | Anaconda, Inc.
Microsoft.Ink.Handwriting.en-US.1.0 | 0.1121.1848.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Ink.Handwriting.en-US.1.0 | 0.1121.1848.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Ink.Handwriting.Main.en-US.1.0.1 | 0.1121.1848.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.LockApp | 10.0.26100.8246 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.MicrosoftEdge.Stable | 140.0.3485.66 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.MicrosoftEdgeDevToolsClient | 1000.25128.1000.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.MicrosoftSolitaireCollection | 4.25.4290.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.MicrosoftStickyNotes | 4.0.6105.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.MPEG2VideoExtension | 1.2.13.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.NET.Native.Framework.2.1 | 2.1.27427.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.NET.Native.Framework.2.1 | 2.1.27427.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.NET.Native.Framework.2.2 | 2.2.29512.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.NET.Native.Framework.2.2 | 2.2.29512.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.NET.Native.Runtime.2.1 | 2.1.26424.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.NET.Native.Runtime.2.1 | 2.1.26424.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.NET.Native.Runtime.2.2 | 2.2.28604.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.NET.Native.Runtime.2.2 | 2.2.28604.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.OneDriveSync | 25179.914.3.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.OutlookForWindows | 1.2025.1209.500 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Paint | 11.2601.441.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.PowerAutomateDesktop | 1.0.2094.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.PowerToys.FileLocksmithContextMenu | 0.96.1.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.PowerToys.ImageResizerContextMenu | 0.96.1.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.PowerToys.PowerRenameContextMenu | 0.96.1.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.PowerToys.SparseApp | 0.96.1.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.PPIProjection | 10.0.26100.1 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.RawImageExtension | 2.5.7.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.ScreenSketch | 11.2602.47.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
